연월,시,자치구,행정동,분류,매출액
201901,대전광역시,동구,효동,건축관련업,22163814
201901,대전광역시,동구,효동,레저/스포츠,17089598
201901,대전광역시,동구,효동,문화/취미,65469612
201901,대전광역시,동구,효동,미용,406169011
201901,대전광역시,동구,효동,소매,1951915657
201901,대전광역시,동구,효동,신변잡화,212943103
201901,대전광역시,동구,효동,용역서비스,15722607
201901,대전광역시,동구,효동,유아교육기관,250119674
201901,대전광역시,동구,효동,유흥,174111133
201901,대전광역시,동구,효동,음식료품,169627578
201901,대전광역시,동구,효동,의료기관/제약,2141952607
201901,대전광역시,동구,효동,의류,93206291
201901,대전광역시,동구,효동,일반음식점,3843549236
201901,대전광역시,동구,효동,자동차정비/유지,69549323
201901,대전광역시,동구,효동,전자상거래,357681904
201901,대전광역시,동구,효동,주유,330264790
201901,대전광역시,동구,효동,학습자재,402446
201901,대전광역시,동구,효동,학원,241599889
201901,대전광역시,동구,효동,휴게음식점,720290437
201901,대전광역시,동구,판암1동,레저/스포츠,183687429
201901,대전광역시,동구,판암1동,미용,34435231
201901,대전광역시,동구,판암1동,소매,830080584
201901,대전광역시,동구,판암1동,용역서비스,9374705
201901,대전광역시,동구,판암1동,유아교육기관,35351954
201901,대전광역시,동구,판암1동,유흥,3480015
201901,대전광역시,동구,판암1동,음식료품,46301863
201901,대전광역시,동구,판암1동,의료기관/제약,348051650
201901,대전광역시,동구,판암1동,의류,15326783
201901,대전광역시,동구,판암1동,일반음식점,802784394
201901,대전광역시,동구,판암1동,자동차정비/유지,37581445
201901,대전광역시,동구,판암1동,학원,18268242
201901,대전광역시,동구,판암1동,휴게음식점,66982278
201901,대전광역시,동구,판암2동,미용,9564525
201901,대전광역시,동구,판암2동,유흥,10234041
201901,대전광역시,동구,판암2동,음식료품,12948895
201901,대전광역시,동구,판암2동,의료기관/제약,158671592
201901,대전광역시,동구,판암2동,일반음식점,94624784
201901,대전광역시,동구,판암2동,휴게음식점,33309928
201901,대전광역시,동구,용운동,레저/스포츠,3537403
201901,대전광역시,동구,용운동,미용,38483600
201901,대전광역시,동구,용운동,소매,306318539
201901,대전광역시,동구,용운동,용역서비스,2244573
201901,대전광역시,동구,용운동,유아교육기관,38110952
201901,대전광역시,동구,용운동,유흥,10837342
201901,대전광역시,동구,용운동,음식료품,157778457
201901,대전광역시,동구,용운동,의료기관/제약,244413331
201901,대전광역시,동구,용운동,일반음식점,939167885
201901,대전광역시,동구,용운동,자동차정비/유지,6278816
201901,대전광역시,동구,용운동,학원,10090573
201901,대전광역시,동구,용운동,휴게음식점,138055303
201901,대전광역시,동구,자양동,레저/스포츠,11345733
201901,대전광역시,동구,자양동,문화/취미,180119862
201901,대전광역시,동구,자양동,미용,116881065
201901,대전광역시,동구,자양동,소매,881974876
201901,대전광역시,동구,자양동,신변잡화,73806493
201901,대전광역시,동구,자양동,유아교육기관,52308311
201901,대전광역시,동구,자양동,유흥,14600615
201901,대전광역시,동구,자양동,일반음식점,1716603376
201901,대전광역시,동구,자양동,학습자재,6310379
201901,대전광역시,동구,자양동,휴게음식점,392358978
201901,대전광역시,동구,가양1동,미용,26243584
201901,대전광역시,동구,가양1동,소매,760917734
201901,대전광역시,동구,가양1동,신변잡화,68410983
201901,대전광역시,동구,가양1동,유아교육기관,215734325
201901,대전광역시,동구,가양1동,유흥,13412406
201901,대전광역시,동구,가양1동,음식료품,46248346
201901,대전광역시,동구,가양1동,의료기관/제약,427951848
201901,대전광역시,동구,가양1동,일반음식점,1960715697
201901,대전광역시,동구,가양1동,자동차정비/유지,727111870
201901,대전광역시,동구,가양1동,학원,7798766
201901,대전광역시,동구,가양1동,휴게음식점,84661713
201901,대전광역시,동구,가양2동,레저/스포츠,5868939
201901,대전광역시,동구,가양2동,문화/취미,87651510
201901,대전광역시,동구,가양2동,미용,96588455
201901,대전광역시,동구,가양2동,소매,1757521994
201901,대전광역시,동구,가양2동,신변잡화,1213223
201901,대전광역시,동구,가양2동,용역서비스,16734166
201901,대전광역시,동구,가양2동,유아교육기관,66135008
201901,대전광역시,동구,가양2동,유흥,62824211
201901,대전광역시,동구,가양2동,음식료품,312764440
201901,대전광역시,동구,가양2동,의료기관/제약,455191114
201901,대전광역시,동구,가양2동,의류,46626321
201901,대전광역시,동구,가양2동,일반음식점,1574134964
201901,대전광역시,동구,가양2동,자동차정비/유지,971167
201901,대전광역시,동구,가양2동,학원,13537481
201901,대전광역시,동구,가양2동,휴게음식점,198199977
201901,대전광역시,동구,용전동,건축관련업,3269596
201901,대전광역시,동구,용전동,기타유통,3972956
201901,대전광역시,동구,용전동,레저/스포츠,25589150
201901,대전광역시,동구,용전동,문화/취미,129099745
201901,대전광역시,동구,용전동,미용,171436833
201901,대전광역시,동구,용전동,사무기기,4305508
201901,대전광역시,동구,용전동,소매,1231976533
201901,대전광역시,동구,용전동,숙박,361495214
201901,대전광역시,동구,용전동,용역서비스,5022479
201901,대전광역시,동구,용전동,운송기구판매,15050221
201901,대전광역시,동구,용전동,유아교육기관,181737738
201901,대전광역시,동구,용전동,유흥,71834729
201901,대전광역시,동구,용전동,음식료품,104859340
201901,대전광역시,동구,용전동,의료기관/제약,280268894
201901,대전광역시,동구,용전동,일반음식점,2702788882
201901,대전광역시,동구,용전동,자동차정비/유지,138384117
201901,대전광역시,동구,용전동,휴게음식점,215408212
201901,대전광역시,동구,홍도동,건축관련업,3913362
201901,대전광역시,동구,홍도동,기타제조/도매,1770173
201901,대전광역시,동구,홍도동,레저/스포츠,516484
201901,대전광역시,동구,홍도동,미용,35271024
201901,대전광역시,동구,홍도동,소매,687059320
201901,대전광역시,동구,홍도동,신변잡화,15141378
201901,대전광역시,동구,홍도동,유아교육기관,95358310
201901,대전광역시,동구,홍도동,유흥,30709481
201901,대전광역시,동구,홍도동,음식료품,276795133
201901,대전광역시,동구,홍도동,의료기관/제약,914437004
201901,대전광역시,동구,홍도동,의류,2177769
201901,대전광역시,동구,홍도동,일반음식점,899572225
201901,대전광역시,동구,홍도동,자동차정비/유지,78753294
201901,대전광역시,동구,홍도동,휴게음식점,27877646
201901,대전광역시,동구,대청동,일반음식점,16200833
201901,대전광역시,동구,산내동,미용,20041358
201901,대전광역시,동구,산내동,소매,241054417
201901,대전광역시,동구,산내동,유아교육기관,247721185
201901,대전광역시,동구,산내동,의료기관/제약,176934801
201901,대전광역시,동구,산내동,일반음식점,797795384
201901,대전광역시,동구,산내동,자동차정비/유지,326065846
201901,대전광역시,동구,산내동,주유,892774063
201901,대전광역시,동구,산내동,학원,2942931
201901,대전광역시,동구,산내동,휴게음식점,71134533
