시군구,유형,지번,도로명,용도지역,건축물주용도,도로조건,전용/연면적(㎡),대지면적(㎡),거래금액(만원),층,계약년월,계약일,지분구분,건축년도
대전광역시 대덕구 대화동,집합,2**,대화로,일반공업,업무,25m미만,84.72, ,7500,3,201905,3, ,1997
대전광역시 대덕구 대화동,집합,2**,대화로,일반공업,제2종근린생활,25m미만,201.17, ,17500,4,201905,5, ,1997
대전광역시 대덕구 대화동,집합,3*,대화로,제3종일반주거,제1종근린생활,25m미만,33.33, ,6000,1,201906,9, ,1987
대전광역시 대덕구 대화동,집합,2**,대화로,일반공업,판매,25m미만,24.93, ,3500,2,201906,21, ,1997
대전광역시 대덕구 대화동,집합,2**,대화로,일반공업,판매,25m미만,27, ,9000,1,201906,21, ,1997
대전광역시 대덕구 대화동,집합,2**,대화로,일반공업,판매,25m미만,27, ,9000,1,201906,21, ,1997
대전광역시 대덕구 대화동,집합,2**,대화로,일반공업,판매,25m미만,24.93, ,3500,2,201906,21, ,1997
대전광역시 대덕구 대화동,집합,2**,대화로,일반공업,판매,25m미만,21.12, ,3800,1,201906,28, ,1997
대전광역시 대덕구 대화동,집합,2**,대화로,일반공업,판매,25m미만,65.06, ,1836,3,201907,1, ,1997
대전광역시 대덕구 대화동,집합,2**,대화로,일반공업,판매,25m미만,81.15, ,6300,3,201907,1, ,1997
대전광역시 대덕구 대화동,집합,2**,대화로,일반공업,판매,25m미만,128.3, ,3051,4,201907,1, ,1997
대전광역시 대덕구 대화동,집합,2**,대화로,일반공업,판매,25m미만,17.33, ,6300,1,201907,1, ,1997
대전광역시 대덕구 대화동,집합,2**,대화로,일반공업,업무,25m미만,22.85, ,3500,3,201907,22, ,1997
대전광역시 대덕구 대화동,집합,2**,대화로,일반공업,업무,25m미만,22.85, ,3500,2,201907,22, ,1997
대전광역시 대덕구 대화동,집합,2**,대화로,일반공업,판매,25m미만,24.75, ,7000,1,201907,22, ,1997
대전광역시 대덕구 대화동,집합,2**,대화로,일반공업,판매,25m미만,24.75, ,7000,1,201907,22, ,1997
대전광역시 대덕구 대화동,집합,2**,대화로,일반공업,업무,25m미만,22.85, ,3500,2,201907,22, ,1997
대전광역시 대덕구 대화동,집합,2**,대화로,일반공업,업무,25m미만,22.85, ,3500,3,201907,22, ,1997
대전광역시 대덕구 대화동,집합,2**,대화로,일반공업,판매,25m미만,27.06, ,18400,1,201908,19, ,1997
대전광역시 대덕구 대화동,집합,2**,대화로,일반공업,판매,25m미만,22.85, ,4600,2,201908,19, ,1997
대전광역시 대덕구 대화동,집합,2**,대화로,일반공업,업무,25m미만,115.82, ,14500,,201908,30, ,1997
대전광역시 대덕구 대화동,집합,2**,대화로,일반공업,판매,25m미만,94.25, ,8500,4,201909,16, ,1997
대전광역시 대덕구 대화동,집합,2**,대화로,일반공업,제1종근린생활,25m미만,52, ,29500,,201909,21, ,2001
대전광역시 대덕구 대화동,집합,2**,대화로,일반공업,제2종근린생활,25m미만,44.8, ,7000,,201909,21, ,2001
대전광역시 대덕구 대화동,집합,2**,대화로,일반공업,판매,25m미만,24.93, ,3500,2,201909,26, ,1997
대전광역시 대덕구 대화동,집합,2**,대화로,일반공업,판매,25m미만,27, ,9000,1,201909,26, ,1997
대전광역시 대덕구 대화동,집합,2**,대화로,일반공업,판매,25m미만,168.05, ,18000,3,201909,30, ,1997
대전광역시 대덕구 대화동,집합,2**,대화로,일반공업,판매,25m미만,24.75, ,5800,,201910,4, ,1997
대전광역시 대덕구 대화동,집합,2**,대화로,일반공업,업무,25m미만,22.85, ,3500,,201910,4, ,1997
대전광역시 대덕구 대화동,집합,2**,대화로,일반공업,업무,25m미만,22.85, ,3500,,201910,4, ,1997
대전광역시 대덕구 대화동,집합,2**,대화로,일반공업,판매,25m미만,24.75, ,6600,1,201911,4, ,1997
대전광역시 대덕구 대화동,집합,2**,대화로,일반공업,판매,25m미만,22.85, ,3500,3,201911,15, ,1997
대전광역시 대덕구 대화동,집합,2**,대화로,일반공업,판매,25m미만,24.75, ,8500,1,201911,15, ,1997
대전광역시 대덕구 대화동,집합,2**,대화로,일반공업,판매,25m미만,22.85, ,3500,2,201911,15, ,1997
대전광역시 대덕구 대화동,집합,2**,대화로,일반공업,판매,25m미만,24.75, ,7000,1,201912,5, ,1997
대전광역시 대덕구 대화동,집합,2**,대화로,일반공업,판매,25m미만,24.51, ,3300,2,201912,5, ,1997
대전광역시 대덕구 대화동,집합,2**,대화로,일반공업,판매,25m미만,27.63, ,7500,1,201912,24, ,1997
대전광역시 대덕구 대화동,집합,2**,대화로,일반공업,판매,25m미만,25.1, ,7500,2,201912,24, ,1997
대전광역시 대덕구 대화동,집합,2**,대화로,일반공업,판매,25m미만,22.51, ,3300,2,202001,9, ,1997
대전광역시 대덕구 대화동,일반,3*,동심1길,제2종일반주거,제1종근린생활,8m미만,114.13,109.00,15900,,202001,9, ,1991
대전광역시 대덕구 대화동,집합,2**,대화로,일반공업,판매,25m미만,24.38, ,7000,1,202001,9, ,1997
대전광역시 대덕구 대화동,집합,2**,대화로,일반공업,판매,25m미만,27, ,8900,1,202001,13, ,1997
대전광역시 대덕구 대화동,집합,2**,대화로,일반공업,판매,25m미만,24.93, ,3700,2,202001,13, ,1997
대전광역시 대덕구 대화동,집합,2**,대화로,일반공업,판매,25m미만,27.06, ,10000,1,202003,2, ,1997
대전광역시 대덕구 대화동,집합,2**,대화로,일반공업,판매,25m미만,22.85, ,10000,2,202003,2, ,1997
대전광역시 대덕구 대화동,집합,2**,대화로,일반공업,판매,25m미만,22.85, ,10000,2,202003,2, ,1997
대전광역시 대덕구 대화동,집합,2**,대화로,일반공업,판매,25m미만,27.06, ,10000,1,202003,2, ,1997
대전광역시 대덕구 대화동,집합,2**,대화로,일반공업,판매,25m미만,24.75, ,6800,1,202003,6, ,1997
